ID,Node,Lat,Lon
285,Flatbush Avenue-Brooklyn College / Nostrand Avenue,-73.947643,40.632836
286,Flushing Avenue / Broadway,-73.941931,40.700721
287,Flushing Avenue / Marcy Avenue,-73.950179,40.699609
288,Flushing-Main Street,-73.829979,40.759698
289,Fordham Road,-73.901114,40.862868
290,Fordham Road / Grand Concourse,-73.897749,40.861295
291,Forest Avenue / 67 Avenue,-73.903079,40.704422
292,Forest Hills-71 Avenue / Queens Boulevard,-73.844767,40.721498
293,Fort Hamilton Parkway / 62 Street,-74.006588,40.632127
294,Fort Hamilton Parkway / New Utrecht Avenue,-73.994298,40.640913
295,Fort Hamilton Parkway / Prospect Avenue,-73.975768,40.649767
296,Franklin Avenue / Eastern Parkway,-73.958132,40.670681
297,Franklin Avenue / Fulton Street,-73.955786,40.681156
298,Franklin Avenue Fulton Street,-73.955827,40.680595
299,Franklin Street / Varick Street,-74.007063,40.719276
300,Freeman Street / Southern Boulevard,-73.891837,40.830139
301,Fresh Pond Road / 67 Avenue,-73.895752,40.706281
302,Fulton Street (Line 4),-74.009748,40.710411
303,Fulton Street / Broadway/Nassau St / William St,-74.007453,40.710152
304,Fulton Street / Lafayette Avenue,-73.974746,40.687369
305,Fulton Street / Nassau Street,-74.008327,40.709372
306,Fulton Street / William St,-74.006089,40.70951
307,Gates Avenue / Broadway,-73.922269,40.689629
308,Graham Avenue / Metropolitan Avenue,-73.944288,40.714642
309,Grand Army Plaza / Flatbush Avenue,-73.97084,40.675138
310,Grand Avenue-Newtown / Queens Boulevard,-73.877205,40.737362
311,Grand Central–42nd Street,-73.97747,40.752395
312,Grand Street / Bushwick Avenue,-73.940456,40.711909
313,Grand Street / Chrystie Street,-73.993592,40.718207
314,Grant Avenue/ Pitkin Avenue,-73.865353,40.676881
315,Greenpoint Avenue / Manhattan Avenue,-73.954057,40.730144
316,Gun Hill Road (Line 5),-73.845896,40.870069
317,Gun Hill Road / White Plains Road,-73.866308,40.877759
318,Halsey Street / Broadway,-73.915741,40.686004
319,Halsey Street / Wyckoff Avenue,-73.905129,40.695907
320,Harlem–148th Street,-73.936939,40.82405
321,Hewes Street / Broadway,-73.95432,40.707249
322,High Street,-73.991408,40.699429
323,Houston Street / Varick Street,-74.005367,40.72825
324,Howard Beach-JFK Airport / 159 Avenue,-73.830301,40.660475
325,Hoyt Street / Fulton Mall,-73.985066,40.690544
326,Hoyt Street-Schermerhorn Street,-73.985312,40.688821
327,Hunters Point Avenue,-73.948158,40.742416
328,Hunts Point Avenue,-73.890473,40.820819
329,Intervale Avenue / Westchester Avenue,-73.896737,40.822248
330,Inwood-207 Street,-73.921235,40.867898
331,Jackson Avenue / Westchester Avenue,-73.908014,40.816228
332,Jackson Heights-Roosevelt Avenue / Broadway,-73.89086,40.746688
333,Jamaica Center-Parsons/Archer,-73.801825,40.701855
334,Jamaica-179 Street / Hillside Avenue,-73.783371,40.7126
335,Jamaica-Van Wyck / Queens Boulevard,-73.817211,40.702716
336,Jay Street-MetroTech,-73.987203,40.69233
337,Jay Street-MetroTech / Fulton Street,-73.986098,40.692191
338,Jefferson Street / Wyckoff Avenue,-73.922088,40.706308
339,Junction Boulevard,-73.869338,40.749202
340,Junius Street,-73.902448,40.663515
341,Kew Gardens-Union Turnpike / Queens Boulevard,-73.83107,40.713977
342,Kings Highway / East 16 Street,-73.957815,40.608673
343,Kings Highway / McDonald Avenue,-73.972361,40.603216
344,Kings Highway / West 7 Street,-73.980353,40.603922
345,Kingsbridge Road,-73.897174,40.86776
346,Kingsbridge Road / Grand Concourse,-73.893954,40.866241
347,Kingston Avenue,-73.942445,40.66929
348,Kingston-Throop Avenues,-73.940858,40.67992
349,Knickerbocker Avenue / Myrtle Avenue,-73.919712,40.698664
350,Kosciuszko Street / Broadway,-73.928814,40.693342
351,Lafayette Avenue,-73.972776,40.685832
352,Lexington Av / 63 Street,-73.966398,40.764878
353,Lexington Avenue / 53 Street,-73.969075,40.757698
354,Lexington Avenue / 59 Street,-73.967528,40.762841
355,Liberty Avenue / Pennsylvania Avenue,-73.896548,40.674541
356,Livonia Avenue / Van Sinderen Avenue,-73.900571,40.664037
357,Longwood Avenue,-73.896436,40.816103
358,Lorimer Street / Broadway,-73.948141,40.704332
359,Lorimer Street / Metropolitan Avenue,-73.949301,40.714197
360,Marble Hill–225th Street / Broadway,-73.909831,40.87456
361,Marcy Avenue / Broadway,-73.957912,40.708554
362,Metropolitan Avenue / Grand Street,-73.951748,40.713754
363,Mets-Willets Point,-73.845734,40.754716
364,Middle Village-Metropolitan Avenue,-73.889277,40.712132
365,Middletown Road,-73.836338,40.843874
366,Montrose Avenue / Bushwick Avenue,-73.93985,40.707737
367,Morgan Avenue / Harrison Place,-73.933711,40.706075
368,Morris Park,-73.860496,40.854362
369,Morrison - Sound View Avenues,-73.874601,40.829535
370,Mosholu Parkway,-73.884656,40.879748
371,Mount Eden Avenue,-73.914686,40.844433
372,Myrtle Avenue / Broadway,-73.935601,40.697005
373,Myrtle-Willoughby Avenues / Marcy Avenue,-73.948985,40.695492
374,Myrtle-Wyckoff Avenues,-73.911349,40.699779
375,Myrtle-Wyckoff Avenues / Myrtle Avenue,-73.911483,40.699643
376,Nassau Avenue / Manhattan Avenue,-73.950634,40.723912
377,Neck Road / East 16 Street,-73.955162,40.595244
378,Neptune Avenue / West 6 Street,-73.974574,40.58101
379,Nereid Avenue / White Plains Road,-73.854339,40.898252
380,Nevins Street / Flatbush Avenue,-73.980492,40.688245
381,New Lots Avenue,-73.883715,40.6663
382,New Lots Avenue / Van Sinderen Avenue,-73.899248,40.658884
383,New Utrecht Avenue / 62 Street,-73.996835,40.625594
384,Newkirk Avenue / Nostrand Avenue,-73.948626,40.639896
385,Newkirk Plaza / East 16 Street,-73.962777,40.634966
386,Northern Boulevard / Broadway,-73.907102,40.753103
387,Norwood Avenue / Fulton Street,-73.88004,40.681409
388,Norwood-205 Street / Bainbridge Avenue,-73.877528,40.87427
389,Nostrand Avenue,-73.950772,40.669747
390,Nostrand Avenue / Fulton Street,-73.94972,40.680576
391,Ocean Parkway/ Brighton Beach Avenue,-73.968501,40.576311
392,Ozone Park-Lefferts Boulevard / Liberty Avenue,-73.825797,40.68595
393,Park Place / Broadway,-74.007798,40.712724
394,Park Place Franklin Avenue Classon Avenue,-73.957626,40.674771
395,Parkchester,-73.860919,40.833253
396,Parkside Avenue / Ocean Avenue,-73.961496,40.655292
397,Parsons Boulevard / Hillside Avenue,-73.802809,40.707466
398,Pelham Bay Park,-73.82709,40.852932
399,Pelham Parkway (Line 5),-73.85546,40.858859
400,Pelham Parkway / White Plains Road,-73.867669,40.857132
401,Pennsylvania Avenue,-73.894896,40.664634
402,President Street / Nostrand Avenue,-73.950684,40.667882
403,Prince Street / Broadway,-73.997665,40.724106
