ID,Node,Lat,Lon,
231,Porte des Lilas,2.406484634,48.87717349,
232,Porte Dorée,2.406177521,48.83527452,
233,Porte d’Orléan,2.325641513,48.823635,
234,Porte Maillot,2.281776667,48.87798934,
235,Pré Saint-Gervais,2.399064302,48.87993676,
236,Pyramides,2.334431112,48.86574837,
237,Pyrénées,2.385261655,48.87385702,
238,Quai de la Gare,2.3729074,48.83707512,
239,Quai de la Râpée,2.365894765,48.84649637,
240,Quatre-Septembre,2.336681485,48.86949852,
241,Rambuteau,2.353808731,48.86177826,
242,Ranelagh,2.270216346,48.85557701,
243,Raspail,2.330757827,48.83896075,
244,Réaumur - Sébastopol,2.352549434,48.86623976,
245,Rennes,2.327878475,48.84810806,
246,République,2.363798618,48.86761157,
247,Reuilly-Diderot,2.386805266,48.84736056,
248,Richard Lenoir,2.372075915,48.86021112,
249,Richelieu – Drouot,2.340507656,48.87192789,
250,Riquet,2.374221683,48.8884796,
251,Robespierre,2.423708439,48.85581261,
252,Rome,2.321328521,48.88224392,
253,Rue de la Pompe,2.278084606,48.86400491,
254,Rue des Boulets,2.388791442,48.8525812,
255,Rue du Bac,2.325666994,48.85572543,
256,Rue Saint-Maur,2.379478812,48.86433417,
257,Saint-Ambroise,2.374795675,48.86105107,
258,Saint-Augustin,2.319929749,48.87469833,
259,Saint-Denis Porte de Paris,2.35627234,48.9300246,
260,Saint-Denis — Université,2.36456573,48.94584892,
261,Saint-Fargeau,2.404310703,48.87152212,
262,Saint-François-Xavier,2.314403057,48.85139783,
263,Saint-Georges,2.337444574,48.87843828,
264,Saint-Germain-des-Prés,2.334459275,48.85363589,
265,Saint-Jacques,2.336631864,48.83302858,
266,Saint-Lazare,2.325362563,48.87565641,
267,Saint-Mandé,2.418439239,48.84643477,
268,Saint-Marcel,2.360846847,48.83827561,
269,Saint-Michel,2.343530506,48.85330057,
270,Saint-Paul,2.360353321,48.85538042,
271,Saint-Philippe du Roule,2.310083359,48.87233701,
272,Saint-Placide,2.327030897,48.84711963,
273,Saint-Sébastien – Froissart,2.367226481,48.86109801,
274,Saint-Sulpice,2.33072564,48.8511015,
275,Ségur,2.307486981,48.84701108,
276,Sentier,2.34556362,48.86772096,
277,Sèvres – Babylone,2.326932997,48.85137771,
278,Sèvres-Lecourbe,2.309584469,48.84561558,
279,Simplon,2.347839475,48.89384778,
280,Solférino,2.323023677,48.85865223,
281,Stalingrad,2.368833125,48.88403295,
282,Strasbourg Saint-Denis,2.354283482,48.86929915,
283,Sully - Morland,2.361819148,48.85139448,
284,Télégraphe,2.399053574,48.87550558,
285,Temple,2.360633612,48.86647531,
286,Ternes,2.299082279,48.87827423,
287,Tolbiac,2.357350588,48.82609044,
288,Trinité – d'Estienne d'Orves,2.332642078,48.87632411,
289,Trocadéro,2.287169248,48.86307325,
290,Tuileries,2.330456078,48.86426712,
291,Vaneau,2.32188642,48.84914149,
292,Varenne,2.315056175,48.85680176,
293,Vaugirard,2.301292419,48.83957951,
294,Vavin,2.329010367,48.84221687,
295,Victor Hugo,2.286036015,48.86995547,
296,Villejuif - Léo Lagrange,2.363787889,48.80513191,
297,Villejuif - Louis Aragon,2.367387414,48.78694009,
298,Villejuif - Paul Vaillant-Couturier,2.368369102,48.79608629,
299,Villiers,2.314907312,48.88111769,
300,Volontaires,2.308001965,48.84152136,
301,Voltaire,2.379806042,48.85815794,
302,Wagram,2.303717136,48.8840042,
