ID,Node,Lat,Lon
201,hampstead,51.55654262,-0.178000138
202,goldhawkroad,51.50207699,-0.227389601
203,hammersmith(h&cline),51.49348338,-0.224625755
204,shepherdsbushmarket,51.50588074,-0.227386087
205,goodgestreet,51.52061313,-0.134793279
206,tottenhamcourtroad,51.51621089,-0.131096029
207,gospeloak,51.55540531,-0.151286611
208,kentishtownwest,51.54654799,-0.146741991
209,upperholloway,51.56362332,-0.129094939
210,grangehill,51.61348041,0.09228697
211,greenford,51.54198011,-0.345864323
212,perivale,51.53634186,-0.323056006
213,piccadillycircus,51.50969676,-0.13369719
214,westminster,51.50140161,-0.124987674
215,gunnersbury,51.49186344,-0.275149734
216,southacton,51.49968586,-0.270200803
217,homerton,51.54659545,-0.038497928
218,hackneywick,51.54355841,-0.025245085
219,stratford,51.54169258,-0.003737223
220,hoxton,51.53139162,-0.075571233
221,hammersmith(dist&piccline),51.4918198,-0.222846527
222,hangerlane,51.53007207,-0.292981732
223,northacton,51.52343246,-0.259715116
224,harlesden,51.53625836,-0.257481259
225,stonebridgepark,51.54398659,-0.275386023
226,southtottenham,51.58040259,-0.071841527
227,harrow&wealdstone,51.59259467,-0.334238252
228,headstonelane,51.60249967,-0.356893078
229,kenton,51.58149632,-0.315202437
230,harrow-on-the-hill,51.57938816,-0.336987088
231,northwickpark,51.57850873,-0.318184963
232,westharrow,51.57892428,-0.353832268
233,hatchend,51.60982855,-0.369164342
234,hattoncross,51.46668536,-0.42336617
235,heathrowterminal4,51.45978048,-0.447715199
236,hounslowwest,51.47310576,-0.385693233
237,heathrowterminals123,51.47128946,-0.452392831
238,heathrowterminal5,51.47002549,-0.490633109
239,southquay,51.50086361,-0.018446288
240,highbarnet,51.65168828,-0.194150928
241,totteridge&whetstone,51.63024674,-0.179339818
242,hillingdon,51.55377757,-0.449883572
243,ickenham,51.56082511,-0.441565089
244,uxbridge,51.54645456,-0.477087141
245,russellsquare,51.52301305,-0.124575786
246,hollandpark,51.50714651,-0.206543371
247,upminsterbridge,51.55771877,0.234556311
248,hounslowcentral,51.47092581,-0.365943734
249,hounsloweast,51.47370794,-0.355260926
250,osterley,51.48121685,-0.352081698
251,shoreditchhighstreet,51.52346683,-0.077073013
252,hydeparkcorner,51.50258403,-0.152459709
253,ruislip,51.57216197,-0.421220499
254,imperialwharf,51.47493895,-0.182823108
255,claphamjunction,51.4643668,-0.170300609
256,islandgardens,51.48795009,-0.010478902
257,oval,51.48141261,-0.113306677
258,kensalgreen,51.53052424,-0.22469897
259,queenspark,51.53431268,-0.204783734
260,kensalrise,51.53421509,-0.220806564
261,kensington(olympia),51.49787972,-0.210364839
262,kentishtown,51.55000954,-0.140456844
263,southkenton,51.57104449,-0.308128551
264,kewgardens,51.47678917,-0.285366614
265,kilburn,51.54694446,-0.2046183
266,kilburnhighroad,51.53726776,-0.19109869
267,kilburnpark,51.53513556,-0.193951642
268,maidavale,51.52999508,-0.185418233
269,kinggeorgev,51.5020086,0.062220619
270,woolwicharsenal,51.48990711,0.069208308
271,kingsbury,51.58487655,-0.278587177
272,wembleypark,51.56332249,-0.279228128
273,knightsbridge,51.50135492,-0.160650081
274,ladbrokegrove,51.5172107,-0.210183763
275,latimerroad,51.51395812,-0.217445257
276,westbournepark,51.52098887,-0.200868104
277,lambethnorth,51.49912996,-0.111753857
278,lancastergate,51.51189096,-0.17541552
279,marblearch,51.51396551,-0.158556807
280,woodlane,51.50965822,-0.224458201
281,leicestersquare,51.5112912,-0.12822774
282,leyton,51.55813227,-0.006450909
283,leytonstone,51.56852229,0.009154878
284,leytonmidlandroad,51.56936424,-0.008051921
285,leytonstonehighroad,51.56380734,0.008268893
286,snaresbrook,51.58089127,0.021478358
287,wanstead,51.57490215,0.0287749
288,wansteadpark,51.55177807,0.026404364
289,limehouse,51.51231217,-0.039365669
290,westferry,51.50963815,-0.02630873
291,londoncityairport,51.50368966,0.047887121
292,warwickavenue,51.52310446,-0.182938881
293,turnpikelane,51.59035815,-0.102790608
294,millhilleast,51.60831667,-0.209881274
295,towerhill,51.51039428,-0.076686791
296,moorpark,51.62993072,-0.432898582
297,northwood,51.61121366,-0.423823347
298,neasden,51.55462775,-0.250100624
299,westacton,51.51777018,-0.280642766
300,northealing,51.51762232,-0.288979143
301,southealing,51.50164406,-0.30702584
302,northharrow,51.58463134,-0.362618562
303,northolt,51.54821295,-0.368426176
304,northwembley,51.56239633,-0.303933795
305,wembleycentral,51.55186482,-0.296377906
306,prestonroad,51.57210376,-0.294957586
307,northwoodhills,51.6008027,-0.409296922
308,pinner,51.59236172,-0.381209357
309,westcroydon,51.37855219,-0.102019927
310,queensway,51.51044926,-0.187405495
311,oakwood,51.64763798,-0.131839089
312,cockfosters,51.6520245,-0.149902259
313,edgwareroad(districtline),51.51999806,-0.167653844
314,royaloak,51.51829438,-0.188809263
315,paddington(h&cline),51.51539381,-0.175722343
316,parsonsgreen,51.47496018,-0.201110096
317,peckhamrye,51.46951137,-0.069969158
318,pengewest,51.41806294,-0.060631386
319,pimlico,51.48955288,-0.133093857
320,victoria,51.49642397,-0.143906303
321,plaistow,51.53128833,0.017795056
322,uptonpark,51.5366282,0.034556256
323,pontoondock,51.50221621,0.033340113
324,westindiaquay,51.50676266,-0.020568041
325,royalalbert,51.50849386,0.045191552
326,puddingmilllane,51.53432786,-0.012754097
327,queensroadpeckham,51.47428472,-0.057340583
328,ravenscourtpark,51.49406801,-0.235954831
329,southharrow,51.56468021,-0.351879546
330,redbridge,51.57636691,0.045408473
331,richmond,51.46323292,-0.301724741
332,woodford,51.60720184,0.034070641
333,rotherhithe,51.50159451,-0.052951891
334,ruislipgardens,51.55996023,-0.409279688
335,southruislip,51.55689035,-0.399101488
336,tottenhamhale,51.58799779,-0.06017339
337,wapping,51.50434032,-0.055846409
338,shepherdsbush,51.50453218,-0.218504754
339,sloanesquare,51.49235978,-0.156474456
340,southwoodford,51.59155261,0.027957512
341,southfields,51.44488334,-0.206594999
342,sudburyhill,51.5573396,-0.336377693
343,southwark,51.50385363,-0.105780534
344,morden,51.40218598,-0.194837608
345,stamfordbrook,51.49445,-0.245231907
346,stanmore,51.61967348,-0.303084851
347,starlane,51.52060425,0.004205414
348,stepneygreen,51.52199584,-0.047368112
349,stjamesspark,51.49960981,-0.133864351
350,stjohnswood,51.53485443,-0.174050425
351,vauxhall,51.48573582,-0.123815553
352,stratfordhighstreet,51.53814895,-0.00106594
353,stratfordinternational,51.54480854,-0.008764015
354,sudburytown,51.55139748,-0.316329065
355,newcross,51.47642942,-0.032264414
356,crystalpalace,51.41817036,-0.072592854
357,epping,51.69368615,0.113840019
358,tootingbroadway,51.42704916,-0.168670146
359,woodsidepark,51.61786842,-0.185411063
360,towergateway,51.51039265,-0.07439547
361,woodgreen,51.59745374,-0.109512154
362,upminster,51.55876333,0.251415224
363,woodgrangepark,51.54905253,0.044586916
364,watfordjunction,51.66388306,-0.396157501
365,westfinchley,51.60926275,-0.188902671
366,westruislip,51.56958792,-0.43784572
367,wimbledon,51.42110787,-0.206648456
368,wimbledonpark,51.43458098,-0.199171892
